ts,structure,adx,action,reason,open,high,low,close,entry,sl,tp,rr,balance
2026-05-08T05:40:00+00:00,RANGE,11.6,NO_TRADE,ADX_TOO_LOW(11.6),88.33,88.39,88.33,88.37,0,0,0,0,101.42
2026-05-08T05:45:00+00:00,RANGE,12.8,NO_TRADE,ADX_TOO_LOW(12.8),88.38,88.42,88.18,88.26,0,0,0,0,101.42
2026-05-08T05:50:00+00:00,RANGE,12.2,NO_TRADE,ADX_TOO_LOW(12.2),88.26,88.28,88.18,88.19,0,0,0,0,101.42
2026-05-08T05:55:00+00:00,RANGE,10.8,NO_TRADE,ADX_TOO_LOW(10.8),88.19,88.2,88.05,88.05,0,0,0,0,101.42
2026-05-08T06:00:00+00:00,RANGE,10.6,NO_TRADE,ADX_TOO_LOW(10.6),88.05,88.05,87.84,88.03,0,0,0,0,101.42
2026-05-08T06:05:00+00:00,RANGE,12.2,NO_TRADE,ADX_TOO_LOW(12.2),88.03,88.03,87.87,87.94,0,0,0,0,101.42
2026-05-08T06:10:00+00:00,RANGE,13.8,NO_TRADE,ADX_TOO_LOW(13.8),87.94,88.15,87.91,88.1,0,0,0,0,101.42
2026-05-08T06:15:00+00:00,RANGE,13.6,NO_TRADE,ADX_TOO_LOW(13.6),88.1,88.24,88.09,88.19,0,0,0,0,101.42
2026-05-08T06:20:00+00:00,RANGE,12.8,NO_TRADE,ADX_TOO_LOW(12.8),88.19,88.24,88.15,88.15,0,0,0,0,101.42
2026-05-08T06:25:00+00:00,RANGE,12.9,NO_TRADE,ADX_TOO_LOW(12.9),88.16,88.29,88.04,88.05,0,0,0,0,101.42
2026-05-08T06:30:00+00:00,RANGE,13.8,NO_TRADE,ADX_TOO_LOW(13.8),88.05,88.08,87.89,87.91,0,0,0,0,101.42
2026-05-08T06:35:00+00:00,RANGE,15.8,NO_TRADE,ADX_TOO_LOW(15.8),87.92,88.04,87.83,88.04,0,0,0,0,101.42
2026-05-08T06:40:00+00:00,RANGE,17.6,NO_TRADE,ADX_TOO_LOW(17.6),88.04,88.13,87.99,88.03,0,0,0,0,101.42
2026-05-08T06:45:00+00:00,RANGE,17.7,NO_TRADE,ADX_TOO_LOW(17.7),88.04,88.07,87.92,87.95,0,0,0,0,101.42
2026-05-08T06:50:00+00:00,RANGE,18.1,NO_TRADE,ADX_TOO_LOW(18.1),87.96,88.04,87.96,88.03,0,0,0,0,101.42
2026-05-08T06:55:00+00:00,RANGE,18.4,NO_TRADE,ADX_TOO_LOW(18.4),88.02,88.05,87.95,88.05,0,0,0,0,101.42
2026-05-08T07:00:00+00:00,BEARISH,20.2,NO_TRADE,NO_BREAKOUT,88.05,88.05,87.91,87.94,0,0,0,0,101.42
2026-05-08T07:05:00+00:00,BEARISH,22.2,NO_TRADE,NO_BREAKOUT,87.94,87.95,87.76,87.88,0,0,0,0,101.42
2026-05-08T07:10:00+00:00,BEARISH,24.1,PLACE_SELL_STOP,TRADE_PLACED_RR1.0,87.87,87.91,87.76,87.78,87.825,88.045559,87.604441,1.0,101.42
2026-05-08T07:15:00+00:00,BEARISH,24.7,NO_TRADE,NO_BREAKOUT,87.77,87.87,87.77,87.81,0,0,0,0,99.39
2026-05-08T07:20:00+00:00,BEARISH,25.3,NO_TRADE,NO_BREAKOUT,87.81,87.88,87.65,87.75,0,0,0,0,99.39
2026-05-08T07:25:00+00:00,BEARISH,27.6,NO_TRADE,NO_ZONE,87.74,87.82,87.7,87.81,0,0,0,0,99.39
2026-05-08T07:30:00+00:00,BEARISH,30.7,NO_TRADE,NO_BREAKOUT,87.81,87.93,87.8,87.88,0,0,0,0,99.39
2026-05-08T07:35:00+00:00,BEARISH,32.4,NO_TRADE,NO_BREAKOUT,87.87,88.02,87.86,87.96,0,0,0,0,99.39
2026-05-08T07:40:00+00:00,BEARISH,32.4,NO_TRADE,NO_BREAKOUT,87.96,88.1,87.96,88.05,0,0,0,0,100.65
2026-05-08T07:45:00+00:00,BEARISH,30.9,NO_TRADE,NO_BREAKOUT,88.05,88.23,88.04,88.19,0,0,0,0,100.65
2026-05-08T07:50:00+00:00,BEARISH,29.2,NO_TRADE,NO_BREAKOUT,88.19,88.21,88.06,88.18,0,0,0,0,100.65
2026-05-08T07:55:00+00:00,BEARISH,28.2,NO_TRADE,NO_BREAKOUT,88.17,88.23,88.14,88.22,0,0,0,0,100.65
2026-05-08T08:00:00+00:00,BEARISH,26.9,NO_TRADE,NO_BREAKOUT,88.23,88.27,88.19,88.27,0,0,0,0,100.65
2026-05-08T08:05:00+00:00,BEARISH,26.0,NO_TRADE,NO_BREAKOUT,88.27,88.36,88.16,88.22,0,0,0,0,100.65
2026-05-08T08:10:00+00:00,BEARISH,25.8,NO_TRADE,NO_BREAKOUT,88.22,88.3,88.19,88.22,0,0,0,0,100.65
2026-05-08T08:15:00+00:00,RANGE,25.2,NO_TRADE,RANGE_STRUCTURE,88.22,88.26,88.16,88.16,0,0,0,0,100.65
2026-05-08T08:20:00+00:00,RANGE,23.6,NO_TRADE,RANGE_STRUCTURE,88.16,88.2,88.05,88.05,0,0,0,0,100.65
2026-05-08T08:25:00+00:00,RANGE,20.9,NO_TRADE,RANGE_STRUCTURE,88.05,88.28,88.01,88.2,0,0,0,0,100.65
2026-05-08T08:30:00+00:00,RANGE,18.8,NO_TRADE,ADX_TOO_LOW(18.8),88.21,88.29,88.19,88.29,0,0,0,0,100.65
2026-05-08T08:35:00+00:00,RANGE,16.3,NO_TRADE,ADX_TOO_LOW(16.3),88.29,88.46,88.29,88.46,0,0,0,0,100.65
2026-05-08T08:40:00+00:00,RANGE,14.8,NO_TRADE,ADX_TOO_LOW(14.8),88.46,88.52,88.38,88.48,0,0,0,0,100.65
2026-05-08T08:45:00+00:00,RANGE,15.1,NO_TRADE,ADX_TOO_LOW(15.1),88.48,88.63,88.46,88.52,0,0,0,0,100.65
2026-05-08T08:50:00+00:00,RANGE,16.8,NO_TRADE,ADX_TOO_LOW(16.8),88.52,88.54,88.46,88.51,0,0,0,0,100.65
2026-05-08T08:55:00+00:00,RANGE,19.2,NO_TRADE,ADX_TOO_LOW(19.2),88.52,88.52,88.35,88.38,0,0,0,0,100.65
2026-05-08T09:00:00+00:00,BULLISH,20.4,NO_TRADE,NO_BREAKOUT,88.38,88.39,88.23,88.3,0,0,0,0,100.65
2026-05-08T09:05:00+00:00,BULLISH,20.6,NO_TRADE,NO_BREAKOUT,88.29,88.48,88.28,88.47,0,0,0,0,100.65
2026-05-08T09:10:00+00:00,BULLISH,21.2,NO_TRADE,NO_BREAKOUT,88.48,88.56,88.45,88.55,0,0,0,0,100.65
2026-05-08T09:15:00+00:00,BULLISH,21.9,NO_TRADE,NO_BREAKOUT,88.56,88.6,88.53,88.57,0,0,0,0,100.65
2026-05-08T09:20:00+00:00,BULLISH,22.3,NO_TRADE,NO_ZONE,88.57,88.69,88.56,88.64,0,0,0,0,100.65
2026-05-08T09:25:00+00:00,BULLISH,23.1,NO_TRADE,NO_BREAKOUT,88.64,88.72,88.55,88.56,0,0,0,0,100.65
2026-05-08T09:30:00+00:00,BULLISH,24.3,NO_TRADE,NO_BREAKOUT,88.57,88.62,88.52,88.59,0,0,0,0,100.65
2026-05-08T09:35:00+00:00,BULLISH,26.4,NO_TRADE,NO_BREAKOUT,88.58,88.61,88.5,88.53,0,0,0,0,100.65
2026-05-08T09:40:00+00:00,BULLISH,27.6,NO_TRADE,NO_BREAKOUT,88.53,88.53,88.46,88.47,0,0,0,0,100.65
2026-05-08T09:45:00+00:00,BULLISH,28.3,NO_TRADE,NO_BREAKOUT,88.47,88.48,88.32,88.39,0,0,0,0,100.65
2026-05-08T09:50:00+00:00,BULLISH,26.5,NO_TRADE,NO_BREAKOUT,88.39,88.39,88.32,88.38,0,0,0,0,100.65
2026-05-08T09:55:00+00:00,BULLISH,24.4,NO_TRADE,NO_BREAKOUT,88.39,88.45,88.34,88.44,0,0,0,0,100.65
2026-05-08T10:00:00+00:00,BULLISH,22.3,NO_TRADE,NO_BREAKOUT,88.44,88.61,88.43,88.58,0,0,0,0,100.65
2026-05-08T10:05:00+00:00,BULLISH,21.2,NO_TRADE,NO_BREAKOUT,88.58,88.58,88.28,88.33,0,0,0,0,100.65
2026-05-08T10:10:00+00:00,BULLISH,20.0,NO_TRADE,ADX_TOO_LOW(20.0),88.34,88.45,88.34,88.41,0,0,0,0,100.65
