ts,session,structure,action,reason,open,high,low,close,entry,sl,tp,rr,balance
2026-05-08T15:55:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,89.51,89.6,89.47,89.59,0,0,0,0,103.0
2026-05-08T16:00:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,89.6,89.64,89.34,89.41,0,0,0,0,103.0
2026-05-08T16:05:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,89.41,89.58,89.38,89.46,0,0,0,0,103.0
2026-05-08T16:10:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,89.45,89.54,89.42,89.49,0,0,0,0,103.0
2026-05-08T16:15:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,89.48,89.6,89.39,89.5,0,0,0,0,103.0
2026-05-08T16:20:00+00:00,CRYPTO,BULLISH,PLACE_BUY_STOP,TRADE_PLACED_BUY_STOP_RR1.0,89.5,89.72,89.43,89.72,89.61,89.63999,89.64,1.0,103.0
2026-05-08T16:25:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,89.72,89.79,89.57,89.6,0,0,0,0,106.0
2026-05-08T16:30:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,89.6,89.65,89.44,89.63,0,0,0,0,106.0
2026-05-08T16:35:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,89.62,89.73,89.53,89.6,0,0,0,0,106.0
2026-05-08T16:40:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,89.59,89.73,89.53,89.71,0,0,0,0,106.0
2026-05-08T16:45:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,89.72,89.76,89.55,89.58,0,0,0,0,106.0
2026-05-08T16:50:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,89.57,89.74,89.51,89.57,0,0,0,0,106.0
2026-05-08T16:55:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,89.58,89.7,89.5,89.59,0,0,0,0,106.0
2026-05-08T17:00:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,89.6,89.79,89.56,89.75,0,0,0,0,106.0
2026-05-08T17:05:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,89.75,89.85,89.67,89.68,0,0,0,0,106.0
2026-05-08T17:10:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,89.69,89.82,89.6,89.79,0,0,0,0,106.0
2026-05-08T17:15:00+00:00,CRYPTO,BULLISH,NO_TRADE,INVALID_PLAN,89.78,90.0,89.76,89.99,0,0,0,0,106.0
2026-05-08T17:20:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,89.99,90.09,89.92,89.97,0,0,0,0,106.0
2026-05-08T17:25:00+00:00,CRYPTO,BULLISH,NO_TRADE,INVALID_PLAN,89.97,90.34,89.96,90.32,0,0,0,0,106.0
2026-05-08T17:30:00+00:00,CRYPTO,BULLISH,NO_TRADE,INVALID_PLAN,90.32,91.77,90.32,91.61,0,0,0,0,106.0
2026-05-08T17:35:00+00:00,CRYPTO,BULLISH,NO_TRADE,INVALID_PLAN,91.61,91.95,91.47,91.88,0,0,0,0,106.0
2026-05-08T17:40:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,91.89,91.94,91.48,91.51,0,0,0,0,106.0
2026-05-08T17:45:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,91.52,91.78,91.48,91.76,0,0,0,0,106.0
2026-05-08T17:50:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,91.77,91.83,91.6,91.78,0,0,0,0,106.0
2026-05-08T17:55:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,91.78,91.86,91.52,91.65,0,0,0,0,106.0
2026-05-08T18:00:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,91.66,92.04,91.65,91.77,0,0,0,0,106.0
2026-05-08T18:05:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,91.78,91.81,91.7,91.77,0,0,0,0,106.0
2026-05-08T18:10:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,91.78,91.91,91.77,91.89,0,0,0,0,106.0
2026-05-08T18:15:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,91.89,92.28,91.79,92.14,0,0,0,0,106.0
2026-05-08T18:20:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,92.13,92.34,92.1,92.26,0,0,0,0,106.0
2026-05-08T18:25:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,92.26,92.42,92.18,92.3,0,0,0,0,106.0
