ts,structure,adx,action,reason,open,high,low,close,entry,sl,tp,rr,balance
2026-05-09T00:40:00+00:00,BULLISH,28.7,NO_TRADE,NO_BREAKOUT,92.45,92.47,92.33,92.37,0,0,0,0,5.24
2026-05-09T00:45:00+00:00,BULLISH,27.8,NO_TRADE,NO_BREAKOUT,92.38,92.62,92.37,92.52,0,0,0,0,5.24
2026-05-09T00:50:00+00:00,BULLISH,27.1,NO_TRADE,NO_BREAKOUT,92.52,92.52,92.41,92.51,0,0,0,0,5.24
2026-05-09T00:55:00+00:00,BULLISH,26.4,NO_TRADE,NO_BREAKOUT,92.5,92.51,92.41,92.48,0,0,0,0,5.24
2026-05-09T01:00:00+00:00,BULLISH,26.1,NO_TRADE,NO_BREAKOUT,92.48,92.52,92.44,92.48,0,0,0,0,5.24
2026-05-09T01:05:00+00:00,BULLISH,26.7,NO_TRADE,INVALID_PLAN(rr=1.0),92.47,92.68,92.42,92.67,0,0,0,0,5.24
2026-05-09T01:10:00+00:00,BULLISH,28.8,NO_TRADE,NO_BREAKOUT,92.66,92.72,92.64,92.67,0,0,0,0,5.24
2026-05-09T01:15:00+00:00,BULLISH,30.9,NO_TRADE,NO_BREAKOUT,92.68,92.7,92.53,92.57,0,0,0,0,5.24
2026-05-09T01:20:00+00:00,BULLISH,31.8,NO_TRADE,NO_BREAKOUT,92.57,92.57,92.47,92.49,0,0,0,0,5.24
2026-05-09T01:25:00+00:00,BULLISH,33.4,NO_TRADE,NO_BREAKOUT,92.49,92.55,92.47,92.49,0,0,0,0,5.24
2026-05-09T01:30:00+00:00,BULLISH,34.3,NO_TRADE,NO_BREAKOUT,92.48,92.66,92.48,92.64,0,0,0,0,5.24
2026-05-09T01:35:00+00:00,BULLISH,34.7,NO_TRADE,INVALID_PLAN(rr=1.0),92.65,92.92,92.6,92.84,0,0,0,0,5.24
2026-05-09T01:40:00+00:00,BULLISH,36.1,NO_TRADE,INVALID_PLAN(rr=1.0),92.85,93.35,92.84,93.18,0,0,0,0,5.24
2026-05-09T01:45:00+00:00,BULLISH,37.8,NO_TRADE,NO_BREAKOUT,93.19,93.32,93.1,93.1,0,0,0,0,5.24
2026-05-09T01:50:00+00:00,BULLISH,39.5,NO_TRADE,NO_ZONE,93.11,93.91,93.01,93.72,0,0,0,0,101.96
2026-05-09T01:55:00+00:00,BULLISH,43.0,NO_TRADE,NO_BREAKOUT,93.73,93.82,93.51,93.51,0,0,0,0,101.96
2026-05-09T02:00:00+00:00,BULLISH,45.8,NO_TRADE,NO_BREAKOUT,93.52,93.63,93.3,93.49,0,0,0,0,101.96
2026-05-09T02:05:00+00:00,BULLISH,47.2,NO_TRADE,NO_BREAKOUT,93.49,93.8,93.42,93.75,0,0,0,0,101.96
2026-05-09T02:10:00+00:00,RANGE,48.8,NO_TRADE,RANGE_STRUCTURE,93.76,93.77,93.48,93.58,0,0,0,0,101.96
2026-05-09T02:15:00+00:00,RANGE,50.4,NO_TRADE,RANGE_STRUCTURE,93.58,93.65,93.52,93.54,0,0,0,0,101.96
2026-05-09T02:20:00+00:00,RANGE,51.3,NO_TRADE,RANGE_STRUCTURE,93.54,93.59,93.35,93.44,0,0,0,0,101.96
2026-05-09T02:25:00+00:00,RANGE,50.8,NO_TRADE,RANGE_STRUCTURE,93.44,93.45,93.36,93.45,0,0,0,0,101.96
2026-05-09T02:30:00+00:00,RANGE,51.5,NO_TRADE,RANGE_STRUCTURE,93.45,93.6,93.44,93.56,0,0,0,0,101.96
2026-05-09T02:35:00+00:00,RANGE,53.2,NO_TRADE,RANGE_STRUCTURE,93.56,93.65,93.51,93.52,0,0,0,0,101.96
2026-05-09T02:40:00+00:00,RANGE,55.0,NO_TRADE,RANGE_STRUCTURE,93.53,93.55,93.4,93.48,0,0,0,0,101.96
2026-05-09T02:45:00+00:00,RANGE,55.4,NO_TRADE,RANGE_STRUCTURE,93.49,93.51,93.3,93.37,0,0,0,0,101.96
2026-05-09T02:50:00+00:00,RANGE,54.1,NO_TRADE,RANGE_STRUCTURE,93.38,93.5,93.3,93.46,0,0,0,0,101.96
2026-05-09T02:55:00+00:00,RANGE,51.7,NO_TRADE,RANGE_STRUCTURE,93.47,93.51,93.42,93.51,0,0,0,0,101.96
2026-05-09T03:00:00+00:00,RANGE,49.4,NO_TRADE,RANGE_STRUCTURE,93.51,93.55,93.41,93.55,0,0,0,0,101.96
2026-05-09T03:05:00+00:00,RANGE,46.4,NO_TRADE,RANGE_STRUCTURE,93.56,93.68,93.54,93.58,0,0,0,0,101.96
2026-05-09T03:10:00+00:00,RANGE,43.9,NO_TRADE,RANGE_STRUCTURE,93.57,93.72,93.56,93.56,0,0,0,0,101.96
2026-05-09T03:15:00+00:00,RANGE,42.9,NO_TRADE,RANGE_STRUCTURE,93.57,93.77,93.57,93.68,0,0,0,0,101.96
2026-05-09T03:20:00+00:00,RANGE,41.8,NO_TRADE,RANGE_STRUCTURE,93.68,93.77,93.63,93.66,0,0,0,0,101.96
2026-05-09T03:25:00+00:00,RANGE,40.8,NO_TRADE,RANGE_STRUCTURE,93.67,93.71,93.59,93.67,0,0,0,0,101.96
2026-05-09T03:30:00+00:00,RANGE,39.3,NO_TRADE,RANGE_STRUCTURE,93.68,93.68,93.52,93.58,0,0,0,0,101.96
2026-05-09T03:35:00+00:00,RANGE,38.3,NO_TRADE,RANGE_STRUCTURE,93.58,93.59,93.46,93.49,0,0,0,0,101.96
2026-05-09T03:40:00+00:00,RANGE,36.9,NO_TRADE,RANGE_STRUCTURE,93.49,93.55,93.41,93.53,0,0,0,0,101.96
2026-05-09T03:45:00+00:00,RANGE,34.6,NO_TRADE,RANGE_STRUCTURE,93.54,93.71,93.5,93.61,0,0,0,0,101.96
2026-05-09T03:50:00+00:00,RANGE,33.1,NO_TRADE,RANGE_STRUCTURE,93.62,93.73,93.55,93.68,0,0,0,0,101.96
2026-05-09T03:55:00+00:00,RANGE,32.4,NO_TRADE,RANGE_STRUCTURE,93.69,93.71,93.64,93.64,0,0,0,0,101.96
2026-05-09T04:00:00+00:00,RANGE,32.4,NO_TRADE,RANGE_STRUCTURE,93.65,93.8,93.62,93.77,0,0,0,0,101.96
2026-05-09T04:05:00+00:00,BULLISH,32.8,NO_TRADE,INVALID_PLAN(rr=1.0),93.77,94.17,93.77,94.01,0,0,0,0,101.96
2026-05-09T04:10:00+00:00,BULLISH,34.5,NO_TRADE,NO_BREAKOUT,94.02,94.02,93.89,93.94,0,0,0,0,101.96
2026-05-09T04:15:00+00:00,BULLISH,36.0,NO_TRADE,NO_BREAKOUT,93.94,93.95,93.73,93.73,0,0,0,0,101.96
2026-05-09T04:20:00+00:00,BULLISH,35.7,NO_TRADE,NO_BREAKOUT,93.74,93.78,93.66,93.68,0,0,0,0,101.96
2026-05-09T04:25:00+00:00,BULLISH,34.7,NO_TRADE,NO_BREAKOUT,93.68,93.68,93.53,93.65,0,0,0,0,101.96
2026-05-09T04:30:00+00:00,RANGE,32.6,NO_TRADE,RANGE_STRUCTURE,93.65,93.73,93.61,93.71,0,0,0,0,101.96
2026-05-09T04:35:00+00:00,BEARISH,30.8,NO_TRADE,NO_BREAKOUT,93.71,93.71,93.52,93.53,0,0,0,0,101.96
2026-05-09T04:40:00+00:00,BEARISH,28.8,PLACE_SELL_STOP,TRADE_PLACED_RR1.0,93.53,93.61,93.42,93.44,93.485,93.7526,93.2174,1.0,101.96
2026-05-09T04:45:00+00:00,BEARISH,26.7,NO_TRADE,NO_BREAKOUT,93.44,93.58,93.43,93.53,0,0,0,0,99.92
2026-05-09T04:50:00+00:00,BEARISH,25.2,NO_TRADE,NO_BREAKOUT,93.53,93.62,93.4,93.43,0,0,0,0,99.92
2026-05-09T04:55:00+00:00,BEARISH,24.4,PLACE_SELL_STOP,TRADE_PLACED_RR1.0,93.43,93.5,93.12,93.24,93.33324,93.623955,93.042525,1.0,102.84
2026-05-09T05:00:00+00:00,BEARISH,23.6,PLACE_SELL_STOP,TRADE_PLACED_RR1.0,93.24,93.24,92.94,92.98,93.07298,93.42,92.72596,1.0,103.8
2026-05-09T05:05:00+00:00,BEARISH,23.5,NO_TRADE,NO_ZONE,92.99,93.08,92.84,92.89,0,0,0,0,101.72
2026-05-09T05:10:00+00:00,BEARISH,23.8,NO_TRADE,NO_BREAKOUT,92.89,93.17,92.88,93.12,0,0,0,0,101.72
2026-05-09T05:15:00+00:00,BEARISH,23.0,NO_TRADE,NO_BREAKOUT,93.12,93.39,93.12,93.34,0,0,0,0,101.72
2026-05-09T05:20:00+00:00,BEARISH,19.6,NO_TRADE,NO_BREAKOUT,93.34,93.53,93.33,93.48,0,0,0,0,102.64
2026-05-09T05:25:00+00:00,BEARISH,15.9,NO_TRADE,NO_BREAKOUT,93.48,93.53,93.43,93.5,0,0,0,0,102.64
2026-05-09T05:30:00+00:00,BEARISH,13.7,NO_TRADE,ADX_TOO_LOW(13.7),93.51,93.6,93.44,93.58,0,0,0,0,102.64
2026-05-09T05:35:00+00:00,BEARISH,12.3,NO_TRADE,ADX_TOO_LOW(12.3),93.58,93.71,93.57,93.67,0,0,0,0,102.64
2026-05-09T05:40:00+00:00,BEARISH,12.3,NO_TRADE,ADX_TOO_LOW(12.3),93.68,93.74,93.64,93.71,0,0,0,0,102.64
2026-05-09T05:45:00+00:00,BEARISH,12.2,NO_TRADE,ADX_TOO_LOW(12.2),93.7,93.75,93.6,93.67,0,0,0,0,102.64
2026-05-09T05:50:00+00:00,BEARISH,12.5,NO_TRADE,ADX_TOO_LOW(12.5),93.67,93.72,93.63,93.7,0,0,0,0,102.64
2026-05-09T05:55:00+00:00,BEARISH,13.4,NO_TRADE,ADX_TOO_LOW(13.4),93.71,93.78,93.69,93.75,0,0,0,0,102.64
2026-05-09T06:00:00+00:00,BEARISH,14.6,NO_TRADE,ADX_TOO_LOW(14.6),93.75,93.97,93.73,93.91,0,0,0,0,102.64
2026-05-09T06:05:00+00:00,BULLISH,16.4,NO_TRADE,NO_BREAKOUT,93.92,93.98,93.9,93.94,0,0,0,0,102.64
2026-05-09T06:10:00+00:00,BULLISH,17.3,NO_TRADE,NO_BREAKOUT,93.94,94.13,93.81,93.89,0,0,0,0,102.64
2026-05-09T06:15:00+00:00,BULLISH,18.1,NO_TRADE,NO_BREAKOUT,93.89,93.89,93.62,93.63,0,0,0,0,102.64
2026-05-09T06:20:00+00:00,BULLISH,17.1,NO_TRADE,NO_BREAKOUT,93.64,93.73,93.56,93.58,0,0,0,0,102.64
2026-05-09T06:25:00+00:00,BULLISH,16.3,NO_TRADE,NO_BREAKOUT,93.59,93.6,93.51,93.55,0,0,0,0,102.64
2026-05-09T06:30:00+00:00,BULLISH,16.6,NO_TRADE,NO_BREAKOUT,93.55,93.64,93.51,93.52,0,0,0,0,102.64
2026-05-09T06:35:00+00:00,RANGE,17.2,NO_TRADE,RANGE_STRUCTURE,93.52,93.52,93.22,93.29,0,0,0,0,102.64
2026-05-09T06:40:00+00:00,RANGE,17.7,NO_TRADE,RANGE_STRUCTURE,93.29,93.52,93.21,93.44,0,0,0,0,102.64
2026-05-09T06:45:00+00:00,BEARISH,18.0,NO_TRADE,NO_BREAKOUT,93.44,93.57,93.37,93.56,0,0,0,0,102.64
2026-05-09T06:50:00+00:00,BEARISH,17.4,NO_TRADE,NO_BREAKOUT,93.56,93.56,93.42,93.48,0,0,0,0,102.64
2026-05-09T06:55:00+00:00,BEARISH,16.7,NO_TRADE,NO_BREAKOUT,93.48,93.56,93.46,93.54,0,0,0,0,102.64
2026-05-09T07:00:00+00:00,BEARISH,16.2,NO_TRADE,NO_BREAKOUT,93.54,93.68,93.53,93.59,0,0,0,0,102.64
2026-05-09T07:05:00+00:00,RANGE,15.6,NO_TRADE,RANGE_STRUCTURE,93.59,93.6,93.34,93.38,0,0,0,0,102.64
2026-05-09T07:10:00+00:00,BULLISH,15.1,NO_TRADE,NO_BREAKOUT,93.39,93.52,93.38,93.48,0,0,0,0,102.64
2026-05-09T07:15:00+00:00,BULLISH,13.8,NO_TRADE,ADX_TOO_LOW(13.8),93.48,93.71,93.48,93.62,0,0,0,0,102.64
2026-05-09T07:20:00+00:00,BULLISH,12.0,NO_TRADE,ADX_TOO_LOW(12.0),93.62,93.81,93.6,93.8,0,0,0,0,102.64
2026-05-09T07:25:00+00:00,BULLISH,10.1,NO_TRADE,ADX_TOO_LOW(10.1),93.8,93.81,93.65,93.68,0,0,0,0,102.64
2026-05-09T07:30:00+00:00,BULLISH,9.6,NO_TRADE,ADX_TOO_LOW(9.6),93.68,93.95,93.67,93.93,0,0,0,0,102.64
