ts,session,structure,action,reason,open,high,low,close,entry,sl,tp,rr,balance
2026-05-07T18:40:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,88.96,88.97,88.57,88.62,0,0,0,0,104.0
2026-05-07T18:45:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,88.62,88.7,88.42,88.44,0,0,0,0,104.0
2026-05-07T18:50:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,88.43,88.44,88.24,88.37,0,0,0,0,104.0
2026-05-07T18:55:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,88.37,88.72,88.37,88.58,0,0,0,0,104.0
2026-05-07T19:00:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,88.58,88.61,88.36,88.37,0,0,0,0,104.0
2026-05-07T19:05:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,88.38,88.46,88.32,88.38,0,0,0,0,104.0
2026-05-07T19:10:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,88.37,88.61,88.35,88.55,0,0,0,0,104.0
2026-05-07T19:15:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,88.56,88.6,88.27,88.3,0,0,0,0,104.0
2026-05-07T19:20:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,88.3,88.42,88.27,88.28,0,0,0,0,104.0
2026-05-07T19:25:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,88.28,88.35,88.22,88.29,0,0,0,0,104.0
2026-05-07T19:30:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,88.3,88.46,88.29,88.44,0,0,0,0,104.0
2026-05-07T19:35:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,88.45,88.64,88.4,88.62,0,0,0,0,104.0
2026-05-07T19:40:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,88.62,88.73,88.54,88.55,0,0,0,0,104.0
2026-05-07T19:45:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,88.55,88.61,88.5,88.59,0,0,0,0,104.0
2026-05-07T19:50:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,88.6,88.74,88.31,88.39,0,0,0,0,104.0
2026-05-07T19:55:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,88.39,88.52,88.37,88.45,0,0,0,0,104.0
2026-05-07T20:00:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,88.45,88.88,88.37,88.68,0,0,0,0,104.0
2026-05-07T20:05:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,88.68,88.7,88.57,88.65,0,0,0,0,104.0
2026-05-07T20:10:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,88.65,88.68,88.54,88.55,0,0,0,0,104.0
2026-05-07T20:15:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,88.55,88.58,88.46,88.49,0,0,0,0,104.0
2026-05-07T20:20:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,88.49,88.59,88.43,88.55,0,0,0,0,104.0
2026-05-07T20:25:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,88.56,88.58,88.47,88.56,0,0,0,0,104.0
2026-05-07T20:30:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,88.56,88.57,88.41,88.41,0,0,0,0,104.0
2026-05-07T20:35:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,88.42,88.47,88.18,88.21,0,0,0,0,104.0
2026-05-07T20:40:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,88.21,88.28,88.16,88.22,0,0,0,0,104.0
2026-05-07T20:45:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,88.22,88.27,88.13,88.26,0,0,0,0,104.0
